question,expected_document,unbounded_recall,recall_at_1,recall_at_5,mrr,ndcg_at_10,retrieved_documents,retrieval_scores
"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",BLOCK_2016_10K,1.0,0.0,0.0,0.1,0.2890648263178879,3M_2017_10K | 3M_2018_10K | 3M_2019_10K | 3M_2020_10K | 3M_2021_10K | 3M_2023Q2_10Q | 3M_2015_10K | 3M_2016_10K | CORNING_2017_10K | BLOCK_2016_10K | CORNING_2016_10K | BLOCK_2015_10K | BLOCK_2022_10K | CORNING_2018_10K | BLOCK_2021_10K | BLOCK_2017_10K | PFIZER_2018_10K | BLOCK_2020_10K | 3M_2022_10K | CORNING_2015_10K | AES_2020_10K | BESTBUY_2017_10K,None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None
Is Boeing's business subject to cyclicality?,BOEING_2022_10K,1.0,0.0,0.0,0.125,0.31546487678572877,BOEING_2016_10K | BOEING_2017_10K | BOEING_2021_10K | BOEING_2015_10K | BOEING_2019_10K | BOEING_2018_10K | BOEING_2020_10K | BOEING_2022_10K,None | None | None | None | None | None | None | None
What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,COCACOLA_2021_10K,1.0,0.0,1.0,0.2,0.38685280723454163,COCACOLA_2017_10K | COCACOLA_2016_10K | COCACOLA_2020_10K | COCACOLA_2022_10K | COCACOLA_2021_10K | COCACOLA_2019_10K | COCACOLA_2018_10K | COCACOLA_2015_10K,None | None | None | None | None | None | None | None
What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.,COCACOLA_2022_10K,1.0,0.0,0.0,0.125,0.31546487678572877,COCACOLA_2019_10K | COCACOLA_2017_10K | COCACOLA_2021_10K | COCACOLA_2016_10K | COCACOLA_2018_10K | COCACOLA_2015_10K | COCACOLA_2020_10K | COCACOLA_2022_10K,None | None | None | None | None | None | None | None
"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",CORNING_2022_10K,1.0,0.0,0.0,0.14285714285714285,0.3333333333333333,CORNING_2021_10K | CORNING_2015_10K | CORNING_2017_10K | CORNING_2016_10K | CORNING_2019_10K | CORNING_2018_10K | CORNING_2022_10K,None | None | None | None | None | None | None
Is CVS Health a capital-intensive business based on FY2022 data?,CVSHEALTH_2022_10K,1.0,0.0,1.0,0.3333333333333333,0.5,CVSHEALTH_2020_10K | CVSHEALTH_2021_10K | CVSHEALTH_2022_10K | CVSHEALTH_2018_10K | CVSHEALTH_2016_10K,None | None | None | None | None
Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,CVSHEALTH_2022_10K,1.0,1.0,1.0,1.0,1.0,CVSHEALTH_2022_10K | CVSHEALTH_2021_10K | CVSHEALTH_2019_10K | CVSHEALTH_2017_10K | CVSHEALTH_2016_10K | CVSHEALTH_2018_10K | CVSHEALTH_2015_10K | CVSHEALTH_2020_10K,None | None | None | None | None | None | None | None
"By drawing conclusions from the information stated only in the statement of financial position, what is General Mills's FY2020 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",GENERALMILLS_2020_10K,1.0,0.0,0.0,0.058823529411764705,0.0,3M_2017_10K | 3M_2020_10K | 3M_2018_10K | 3M_2019_10K | GENERALMILLS_2023_10K | GENERALMILLS_2022_10K | GENERALMILLS_2016_10K | 3M_2021_10K | GENERALMILLS_2015_10K | GENERALMILLS_2019_10K | 3M_2016_10K | 3M_2015_10K | 3M_2023Q2_10Q | GENERALMILLS_2018_10K | GENERALMILLS_2021_10K | GENERALMILLS_2017_10K | GENERALMILLS_2020_10K,None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None | None
What is the FY2018 - FY2020 3 year average of capex as a % of revenue for MGM Resorts? Answer in units of percents and round to one decimal place. Please utilize information provided primarily within the statement of cash flows and the statement of income.,MGMRESORTS_2020_10K,1.0,0.0,1.0,0.2,0.38685280723454163,MGMRESORTS_2018_10K | MGMRESORTS_2019_10K | MGMRESORTS_2017_10K | MGMRESORTS_2023Q2_10Q | MGMRESORTS_2020_10K | MGMRESORTS_2015_10K | MGMRESORTS_2022_10K | MGMRESORTS_2016_10K,None | None | None | None | None | None | None | None
Which region had the worst topline performance for MGM during FY2022?,MGMRESORTS_2022Q4_EARNINGS,1.0,1.0,1.0,1.0,1.0,MGMRESORTS_2022Q4_EARNINGS | MGMRESORTS_2021_10K | MGMRESORTS_2019_10K | MGMRESORTS_2022_10K | MGMRESORTS_2020_10K | MGMRESORTS_2017_10K | MGMRESORTS_2018_10K,None | None | None | None | None | None | None
What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.,MICROSOFT_2016_10K,1.0,0.0,1.0,0.5,0.6309297535714575,MICROSOFT_2020_10K | MICROSOFT_2016_10K | MICROSOFT_2018_10K | MICROSOFT_2021_10K | MICROSOFT_2017_10K | MICROSOFT_2015_10K | MICROSOFT_2022_10K | MICROSOFT_2019_10K,None | None | None | None | None | None | None | None
"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",PAYPAL_2022_10K,1.0,0.0,1.0,0.3333333333333333,0.5,PAYPAL_2023Q2_10Q | EBAY_2017_10K | PAYPAL_2022_10K,None | None | None
"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?",PEPSICO_2023_8K_dated-2023-05-30,1.0,1.0,1.0,1.0,1.0,PEPSICO_2023_8K_dated-2023-05-30 | PEPSICO_2022_10K | PEPSICO_2017_10K | PEPSICO_2018_10K | PEPSICO_2019_10K | PEPSICO_2021_10K | PEPSICO_2015_10K | PEPSICO_2016_10K | PEPSICO_2020_10K,None | None | None | None | None | None | None | None | None
"As of FY2023Q1, why did Pepsico raise full year guidance for FY2023?",PEPSICO_2023Q1_EARNINGS,1.0,0.0,0.0,0.16666666666666666,0.3562071871080222,PEPSICO_2017_10K | PEPSICO_2018_10K | PEPSICO_2019_10K | PEPSICO_2021_10K | PEPSICO_2020_10K | PEPSICO_2023Q1_EARNINGS | PEPSICO_2022_10K | PEPSICO_2023Q2_EARNINGS | PEPSICO_2015_10K | PEPSICO_2022Q4_EARNINGS | PEPSICO_2016_10K,None | None | None | None | None | None | None | None | None | None | None
Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?,PFIZER_2021_10K,1.0,0.0,1.0,0.5,0.6309297535714575,PFIZER_2020_10K | PFIZER_2021_10K | PFIZER_2019_10K | PFIZER_2023Q2_EARNINGS | PFIZER_2018_10K | PFIZER_2017_10K | PFIZER_2016_10K | PFIZER_2022_10K,None | None | None | None | None | None | None | None
What are three main companies acquired by Pfizer mentioned in this 10K report?,PFIZER_2021_10K,1.0,0.0,1.0,0.3333333333333333,0.5,PFIZER_2019_10K | PFIZER_2022_10K | PFIZER_2021_10K | PFIZER_2020_10K | PFIZER_2018_10K | PFIZER_2015_10K | PFIZER_2017_10K | PFIZER_2016_10K,None | None | None | None | None | None | None | None
Did Ulta Beauty's wages expense as a percent of net sales increase or decrease in FY2023?,ULTABEAUTY_2023Q4_EARNINGS,1.0,0.0,1.0,0.25,0.43067655807339306,ULTABEAUTY_2023Q2_EARNINGS | ULTABEAUTY_2023_10K | ULTABEAUTY_2024Q2_EARNINGS | ULTABEAUTY_2023Q4_EARNINGS | ULTABEAUTY_2023Q1_EARNINGS | ULTABEAUTY_2024Q1_EARNINGS,None | None | None | None | None | None
"As of FY 2021, how much did Verizon expect to pay for its retirees in 2024?",VERIZON_2021_10K,1.0,0.0,0.0,0.16666666666666666,0.3562071871080222,VERIZON_2019_10K | VERIZON_2020_10K | VERIZON_2017_10K | VERIZON_2018_10K | VERIZON_2015_10K | VERIZON_2021_10K | VERIZON_2022_10K,None | None | None | None | None | None | None
Is Verizon a capital intensive business based on FY 2022 data?,VERIZON_2022_10K,1.0,1.0,1.0,1.0,1.0,VERIZON_2022_10K | VERIZON_2020_10K | VERIZON_2021_10K | VERIZON_2019_10K | VERIZON_2018_10K | VERIZON_2017_10K,None | None | None | None | None | None
